PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
150	160	160	170	2	153.8	5.31	164.5	2.553	1.336	0.005	1.45	0.004	0	0	1.517	0.013	1.241	0.005	120.7	0.849	0	0	112.05	0.919	0	0	122.2	0.707	117.25	1.061	122.2	0.424	173.2	8.174	
150	160	-170	-160	3	152.6	3.876	-164.6	1.616	1.33	0.013	1.438	0.019	0	0	1.518	0.01	1.231	0.019	121.133	0.153	0	0	110.667	1.79	0	0	120.467	0.153	117.767	1.419	122.167	1.115	182.4	4.216	
150	160	150	160	2	157	1.541	154.1	4.016	1.32	0.006	1.44	0.017	0	0	1.508	0.03	1.236	0.004	122.05	2.899	0	0	112.45	1.485	0	0	122.1	0.99	117.15	0.212	121.9	0.141	180.9	0.375	
150	160	-140	-130	1	150.5	0	-139.7	0	1.308	0	1.425	0	0	0	1.54	0	1.235	0	122.6	0	0	0	110.4	0	0	0	120.9	0	119.1	0	121.4	0	188.6	0	
150	160	-160	-150	1	154.1	0	-150.2	0	1.29	0	1.474	0	0	0	1.533	0	1.227	0	127.4	0	0	0	108.6	0	0	0	120.6	0	120.7	0	121.6	0	180.4	0	
150	160	-130	-120	1	156.5	0	-122.4	0	1.345	0	1.458	0	0	0	1.515	0	1.254	0	119.3	0	0	0	110.4	0	0	0	118.7	0	115.8	0	123.6	0	190.6	0	
-180	-170	-180	-170	8	-173.9	3.239	-174.4	3.421	1.324	0.012	1.453	0.008	0	0	1.505	0.015	1.232	0.012	119.1	0.809	0	0	111.413	0.864	0	0	122.05	0.703	117.763	1.043	122.213	0.996	182.5	3.403	
-180	-170	160	170	2	-174.5	5.883	167	0.849	1.317	0.024	1.477	0.016	0	0	1.516	0.004	1.243	0.011	120.65	0.071	0	0	109.85	3.606	0	0	120.45	0.071	117.75	0.071	122.05	0.354	178.9	3.592	
-180	-170	150	160	2	-178.2	0.778	154.6	5.742	1.331	0.018	1.455	0.008	0	0	1.513	0.008	1.237	0.016	120.15	1.768	0	0	110.3	1.697	0	0	121.15	0.071	116.75	0.636	122.4	1.273	179.2	10.656	
-180	-170	170	180	8	-173.3	3.041	174.4	3.497	1.325	0.011	1.454	0.009	0	0	1.515	0.014	1.23	0.01	121.35	1.648	0	0	110.05	1.917	0	0	121.363	0.752	117.425	2.195	122.563	0.909	182.5	7.718	
-180	-170	-120	-110	1	-170.3	0	-115.9	0	1.323	0	1.476	0	0	0	1.514	0	1.245	0	122.4	0	0	0	108	0	0	0	119.5	0	116.6	0	122.9	0	173.9	0	
-180	-170	-150	-140	1	-171	0	-145.7	0	1.313	0	1.456	0	0	0	1.523	0	1.243	0	123	0	0	0	108.4	0	0	0	120	0	115.1	0	123.1	0	178.2	0	
-180	-170	-170	-160	3	-175.2	4.144	-165.9	2.601	1.326	0.006	1.452	0.011	0	0	1.508	0.008	1.232	0.004	120.867	1.021	0	0	111.133	1.305	0	0	121.167	1.95	117	1.058	122.4	0.9	184.7	8.98	
-180	-170	-160	-150	2	-177.2	2.22	-154.5	4.794	1.32	0.002	1.438	0.02	0	0	1.504	0.007	1.241	0.002	119.5	1.556	0	0	111.55	2.192	0	0	120.9	0.141	117.8	1.98	122.25	0.636	178.8	0.792	
80	90	-170	-160	9	83.9	1.957	-166.2	1.487	1.325	0.023	1.443	0.018	0	0	1.514	0.009	1.239	0.016	121.889	2.035	0	0	112.378	2.215	0	0	122.356	1.295	117.011	2.058	123.122	1.215	186	6.908	
80	90	-10	0	55	85.1	2.545	-4.6	2.734	1.332	0.015	1.448	0.019	0	0	1.513	0.018	1.24	0.016	121.909	1.271	0	0	115.327	1.202	0	0	119.147	1.207	116.86	1.621	122.809	1.452	180.7	4.584	
80	90	-20	-10	20	86	1.718	-13.7	2.838	1.332	0.013	1.445	0.013	0	0	1.51	0.014	1.236	0.014	122.19	1.498	0	0	115.755	1.37	0	0	119.2	1.121	115.875	1.785	122.865	1.215	182.5	4.065	
80	90	10	20	36	83.9	2.86	15.2	3.2	1.333	0.012	1.45	0.014	0	0	1.508	0.014	1.239	0.011	121.192	1.656	0	0	115.014	1.259	0	0	119.181	1.146	117.986	1.663	121.944	1.285	179	5.367	
80	90	0	10	47	84.2	2.711	5.2	3.21	1.329	0.014	1.447	0.015	0	0	1.514	0.011	1.237	0.013	122.098	2.639	0	0	115.194	1.475	0	0	119.045	1.204	117.017	1.939	122.511	1.635	180.4	3.669	
80	90	80	90	1	89	0	89.2	0	1.316	0	1.454	0	0	0	1.517	0	1.254	0	123.6	0	0	0	108.2	0	0	0	117.6	0	115	0	121.9	0	189.6	0	
80	90	160	170	4	85.6	3.102	164.7	3.072	1.329	0.014	1.437	0.013	0	0	1.523	0.003	1.23	0.005	122.425	0.95	0	0	112.65	0.794	0	0	121.875	0.568	117.3	1.796	123.025	0.991	178	8.927	
80	90	30	40	2	82.8	0.997	35.3	6.329	1.33	0.009	1.442	0.006	0	0	1.512	0.003	1.231	0.003	120.75	0.919	0	0	115.2	1.98	0	0	120.8	1.556	118	0.566	121.9	0.283	172	6.456	
80	90	20	30	11	82.5	1.992	22.7	2.558	1.332	0.019	1.449	0.014	0	0	1.505	0.014	1.234	0.011	121.018	1.597	0	0	114.382	2.285	0	0	119.555	0.923	117.109	1.739	122.273	1.159	179.7	2.772	
80	90	-140	-130	3	83.7	1.624	-132.3	2.484	1.345	0.02	1.454	0.015	0	0	1.504	0.026	1.225	0.023	120.433	0.551	0	0	110.133	1.96	0	0	120.5	0.755	110.967	7.529	123.733	0.85	182.2	6.659	
80	90	-30	-20	4	86	2.076	-23.3	1.871	1.333	0.015	1.445	0.014	0	0	1.507	0.004	1.238	0.016	122.35	1.611	0	0	115.15	0.545	0	0	119.8	0.294	114.85	1.115	123.675	1.147	184.7	4.683	
80	90	170	180	7	83.7	3.161	176.5	2.691	1.339	0.026	1.447	0.011	0	0	1.508	0.021	1.239	0.014	123.357	4.394	0	0	113.5	1.88	0	0	122.614	0.932	117.086	3.401	122.471	1.026	184.8	5.508	
80	90	-160	-150	2	85.6	0.707	-154.2	3.889	1.312	0.003	1.453	0.018	0	0	1.529	0.011	1.224	0.005	121.85	0.778	0	0	111.7	2.828	0	0	121.2	0.707	117.15	0.636	122.65	2.051	188.3	6.223	
80	90	150	160	1	86.9	0	155.1	0	1.305	0	1.45	0	0	0	1.507	0	1.238	0	123.3	0	0	0	113.5	0	0	0	122.4	0	117.6	0	123	0	187.9	0	
80	90	70	80	1	83.4	0	73.3	0	1.335	0	1.476	0	0	0	1.541	0	1.233	0	120	0	0	0	110	0	0	0	119.8	0	116.1	0	123.2	0	178.6	0	
80	90	-60	-50	3	85.8	3.794	-52.9	0.959	1.321	0.022	1.46	0.026	0	0	1.523	0.006	1.233	0.018	121.3	3.516	0	0	114.267	2.454	0	0	119.967	1.405	117.633	0.896	122.133	0.751	180.4	4.735	
80	90	-50	-40	2	84.1	1.711	-44	2.072	1.326	0.028	1.459	0.027	0	0	1.492	0.033	1.232	0.008	122.1	2.263	0	0	118.8	0.566	0	0	120.1	2.121	117.65	2.051	122.15	0.778	181.9	8.775	
80	90	130	140	1	82.6	0	135.7	0	1.335	0	1.455	0	0	0	1.485	0	1.25	0	122.7	0	0	0	113.1	0	0	0	121.2	0	112.8	0	122.7	0	176	0	
80	90	-180	-170	3	86.4	1.565	-174	3.378	1.335	0.017	1.445	0.027	0	0	1.518	0.002	1.222	0.009	120.133	1.447	0	0	114.9	0.755	0	0	122.9	2.066	113.467	1.258	123.633	1.002	182.4	8.184	
80	90	-70	-60	1	85.5	0	-67.7	0	1.346	0	1.463	0	0	0	1.53	0	1.238	0	121.7	0	0	0	109.8	0	0	0	122.4	0	117.2	0	122.1	0	163.4	0	
80	90	40	50	1	88.8	0	42.8	0	1.349	0	1.469	0	0	0	1.497	0	1.227	0	121.8	0	0	0	111.1	0	0	0	119.1	0	115.9	0	120.9	0	194	0	
80	90	-40	-30	1	89.3	0	-38.4	0	1.325	0	1.474	0	0	0	1.536	0	1.222	0	122.7	0	0	0	111.6	0	0	0	122.4	0	118.1	0	121.7	0	176.1	0	
80	90	-120	-110	1	85.9	0	-111.2	0	1.345	0	1.462	0	0	0	1.536	0	1.224	0	119.4	0	0	0	112.6	0	0	0	122.3	0	116.6	0	121.5	0	189.1	0	
80	90	140	150	1	83.9	0	145.7	0	1.307	0	1.498	0	0	0	1.517	0	1.245	0	111.6	0	0	0	112.1	0	0	0	124.2	0	117.9	0	126.6	0	179.8	0	
