PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-90	-80	90	100	34	-86.1	2.949	95.3	3.215	1.333	0.012	1.462	0.014	1.522	0.014	1.521	0.012	1.231	0.017	122.441	1.694	110.544	1.373	108.382	1.508	111.356	1.8	121.429	1.068	116.644	1.739	122.353	1.447	184	5.301	-2	-90	90	10	10	-9	9	
-90	-80	10	20	18	-87.4	2.089	13.4	2.909	1.331	0.016	1.452	0.013	1.534	0.018	1.522	0.021	1.239	0.014	122.55	2.075	110.444	1.361	114.022	1.488	110.511	2.094	119.944	1.468	117.506	1.612	122.583	1.184	175.7	7.016	4	-90	10	10	10	-9	1	
-90	-80	80	90	21	-85.5	2.537	85.3	3.285	1.334	0.013	1.461	0.014	1.528	0.014	1.522	0.015	1.231	0.012	122.629	1.866	110.281	1.46	108.362	2.072	111.719	1.767	122.205	1.343	116.781	1.478	122.157	1.36	185.7	6.181	-2	-90	80	10	10	-9	8	
-90	-80	120	130	82	-84.9	2.891	126.3	2.824	1.33	0.014	1.458	0.013	1.531	0.016	1.524	0.013	1.233	0.012	121.817	1.566	110.183	1.563	109.198	1.545	110.177	1.774	120.665	1.058	116.289	1.692	122.839	1.231	178.4	5.757	-1	-90	120	10	10	-9	12	
-90	-80	-40	-30	54	-84.1	2.839	-34.3	2.634	1.328	0.015	1.459	0.013	1.533	0.013	1.523	0.015	1.237	0.012	121.498	2.205	109.9	1.292	112.715	1.309	110.143	1.843	119.709	1.555	117.05	1.828	122.22	1.571	183.8	6.967	3	-90	-40	10	10	-9	-4	
-90	-80	-180	-170	16	-85.1	2.947	-176.1	3.161	1.334	0.013	1.46	0.012	1.521	0.015	1.525	0.012	1.235	0.012	121.481	1.691	110.281	1.195	110.1	1.114	113.831	2.094	121.613	1.209	115.55	1.618	123.206	1.576	184.5	4.769	0	-90	-180	10	10	-9	-18	
-90	-80	-50	-40	30	-83.8	2.55	-44.1	2.892	1.331	0.014	1.458	0.014	1.537	0.016	1.524	0.014	1.235	0.012	122.357	2.579	109.963	1.632	112.58	1.691	110.877	1.867	120.553	1.049	117.423	2.208	122.067	1.62	185.1	6.553	3	-90	-50	10	10	-9	-5	
-90	-80	150	160	50	-84.6	3.139	155.2	2.807	1.327	0.013	1.453	0.012	1.531	0.014	1.526	0.013	1.235	0.013	121.906	1.512	110.886	1.792	110.324	1.252	109.804	1.732	121.616	1.288	116.532	1.441	122.634	0.972	176.3	6.5	0	-90	150	10	10	-9	15	
-90	-80	30	40	4	-85	3.658	37.1	3.416	1.328	0.026	1.459	0.014	1.527	0.011	1.52	0.025	1.234	0.015	122.725	1.621	109.8	2.486	113.9	0.787	111.3	1.314	120	0.739	117.475	2.825	122.45	0.947	178	3.027	4	-90	30	10	10	-9	3	
-90	-80	60	70	18	-85.8	2.516	65.9	1.732	1.33	0.018	1.464	0.009	1.521	0.014	1.533	0.011	1.23	0.016	122.156	1.3	110.406	1.002	110.4	1.251	111.989	1.464	122.556	1.25	116.378	1.43	122.944	0.819	179.8	5.934	0	-90	60	10	10	-9	6	
